sample_id,class_id,class_name,species,split,sha256,path
breed-02-sample-00,2,American Pit Bull Terrier,dog,train,f7dbe9cf9ff83148710e5ebd24f38cd5cfb72be481704bf1e2bef1550b4e5fb3,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-02-sample-00.png
breed-02-sample-01,2,American Pit Bull Terrier,dog,train,8ae6773dd11ed297104a6c523a5ab01873d474a3270e4bda0e61896c92828ff4,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-02-sample-01.png
breed-02-sample-02,2,American Pit Bull Terrier,dog,train,91737869fa59c611569867743877514444e2f0e9606c3c76ec1e46cefd37a183,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-02-sample-02.png
breed-02-sample-03,2,American Pit Bull Terrier,dog,train,79056383e7a59d8197647ce2e95d4e8e13ec11bac34f0514ff77939bde267951,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-02-sample-03.png
breed-02-sample-04,2,American Pit Bull Terrier,dog,validation,24f3eb10d4dcf933e972414b54ee7f32592e8efbe606a2ba09b0f783f04c93da,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-02-sample-04.png
breed-02-sample-05,2,American Pit Bull Terrier,dog,validation,bea51172409aceec7f08961aac845f16fcf591d6d6b0728dca3b2f94986b5aed,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-02-sample-05.png
breed-03-sample-00,3,Basset Hound,dog,train,a31b29a47775f7b6a6820aa873852a9f61c3eb593594345ba7e168756de05030,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-03-sample-00.png
breed-03-sample-01,3,Basset Hound,dog,train,3b9a44e78b9a8c396a95f269c3426562a1462bde3ef56fb50c3544c37c62fadd,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-03-sample-01.png
breed-03-sample-02,3,Basset Hound,dog,train,3d3e82bbcdccaed1a8185340cf0390b9ccdad48dd105267ab625eafe518da481,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-03-sample-02.png
breed-03-sample-03,3,Basset Hound,dog,train,ff4f7a59a92d1095b54d1525f9323843448d0aae5ccc6fc5c0278501109ca942,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-03-sample-03.png
breed-03-sample-04,3,Basset Hound,dog,validation,0efdf225ed4b6102764e7e06d5c2d5262618957955ee73485dbb874df8d71945,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-03-sample-04.png
breed-03-sample-05,3,Basset Hound,dog,validation,0bde003f3c2d2bc20b03b06e9b36a932cf41a8af9ada611fcc1549e03aad13bf,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-03-sample-05.png
breed-04-sample-00,4,Beagle,dog,train,4fed86eb95a670cad5c51598c3bc514bc0c2726366dc1469da07a636753cf9ff,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-04-sample-00.png
breed-04-sample-01,4,Beagle,dog,train,fb3bfd356981cd18b28e7a5e5d3280505cfe4370a5aae334b2fc3f871a02adb9,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-04-sample-01.png
breed-04-sample-02,4,Beagle,dog,train,6601f9fa42a91afd2d3b538dde5218502af04221fb4bbce190fd7391b80e363c,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-04-sample-02.png
breed-04-sample-03,4,Beagle,dog,train,c49409f509510dcb047330232d7dbf064b329a64a71594f899d0af3c208a7e55,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-04-sample-03.png
breed-04-sample-04,4,Beagle,dog,validation,de82562b087759c873cb5e0c9ca89d84dd146a954a95b9fc4dd221b72aca7bd8,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-04-sample-04.png
breed-04-sample-05,4,Beagle,dog,validation,2bee0c81469f4b8337c3ea76da33ddf3960e3f0a50720e73bf05b66525df2ee8,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-04-sample-05.png
breed-05-sample-00,5,Bengal,cat,train,68d9f18768f8cf08434c68241178687cbb9bbe8c61313573ede31c27c31c6697,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-05-sample-00.png
breed-05-sample-01,5,Bengal,cat,train,16186d2518884aa12bf939ff618d6058b650ca2cf2371e63b4767419e691dcea,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-05-sample-01.png
breed-05-sample-02,5,Bengal,cat,train,935df55d38d65c9249210f7d5ed62fa7b0a2db9b7516857a6e34cbed800a78ab,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-05-sample-02.png
breed-05-sample-03,5,Bengal,cat,train,5ccdc2719dc18fe3bc82ee467ddbe5301c15c8d6b11a36eca854c44e0d95bb33,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-05-sample-03.png
breed-05-sample-04,5,Bengal,cat,validation,0efe953e86f0e0d59cdfe1f1e634f1f2e6123e8fff90e9ae83ad224fba9bd659,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-05-sample-04.png
breed-05-sample-05,5,Bengal,cat,validation,5f46b3b40020f654485786ce1b165c0ceca9029896ff68fdbf0de6760b1fcc71,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-05-sample-05.png
breed-06-sample-00,6,Birman,cat,train,ae26850e0cdd214685e00336c4b648b2150c1785f557e81bca81c6a4874d8718,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-06-sample-00.png
breed-06-sample-01,6,Birman,cat,train,3c2d33be964021cc1e8000cf9b2c165793cd4a54a5c76b850c981eae7bf05d79,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-06-sample-01.png
breed-06-sample-02,6,Birman,cat,train,73f30df49febf1414bdeb145fecdaf4e149a4e72d81b3254361bdaa033b27dd6,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-06-sample-02.png
breed-06-sample-03,6,Birman,cat,train,b44c3ce9c5b80ae1037fff82fa21f15a5d4da2d025e2450ab7d1d667a312d977,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-06-sample-03.png
breed-06-sample-04,6,Birman,cat,validation,e373d0b1c33fb859ba99a65a94fa16d9fe776782e922724174556e66a80f7bbd,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-06-sample-04.png
breed-06-sample-05,6,Birman,cat,validation,609337879f2bbda7e2a3f7f3e0ba214db03cbb7387cc66c2d2e00a382d6d6de8,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-06-sample-05.png
breed-07-sample-00,7,Bombay,cat,train,f3c75f7d3a3a275e3640a13de7cc58151be9844cb048c89e1fa2a8578a457993,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-07-sample-00.png
breed-07-sample-01,7,Bombay,cat,train,29ab0be6dff4061b111321525625a2df92ab6054f90f436e4b71727f9b6c0413,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-07-sample-01.png
breed-07-sample-02,7,Bombay,cat,train,459322f32344f711eb8a2ceb385d667ef5d0e111020104ed1bebfd5ebecd0995,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-07-sample-02.png
breed-07-sample-03,7,Bombay,cat,train,142648d143a6b6af3af1d94afc326a73aae0637d80dc7870b2906a33cada83d4,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-07-sample-03.png
breed-07-sample-04,7,Bombay,cat,validation,a600c1886fad5c5ff5654fe9e409d9840882863ca2baa0f5c31eca1ea745e184,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-07-sample-04.png
breed-07-sample-05,7,Bombay,cat,validation,3a691b02cb7c7bb4334aabfb42abe5cb69a62e329cf8ed44738e264b708b0e88,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-07-sample-05.png
breed-08-sample-00,8,Boxer,dog,train,dfcc00494718134501d980fe532131364038573011ed1925a20fda4d8051c392,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-08-sample-00.png
breed-08-sample-01,8,Boxer,dog,train,dd9041b4277f26f7f4250351951494818ec0f802e0cd19da2d9afaa066bbd1c3,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-08-sample-01.png
breed-08-sample-02,8,Boxer,dog,train,f004c8e243c2f8d9b445d0b67e22027d6664aaeda5e13bc3a07d624b44d5ae28,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-08-sample-02.png
breed-08-sample-03,8,Boxer,dog,train,50025e200906b98b220ece3ef612fea6886b8dcb2c188456c8579f6ea2dcd101,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-08-sample-03.png
breed-08-sample-04,8,Boxer,dog,validation,298d4762c4af603a1be04432e487ccd200315ea8a1d747617450e441c4bfbab9,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-08-sample-04.png
breed-08-sample-05,8,Boxer,dog,validation,607ce579aed3ca9fff3a6e950994ada0edfe913066ee8f15c790ea0f8f44693b,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-08-sample-05.png
breed-09-sample-00,9,British Shorthair,cat,train,5538e7a191e6c84bdcb49397ef4c58ebfdfbc7ca49f308b26441788e45092487,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-09-sample-00.png
breed-09-sample-01,9,British Shorthair,cat,train,835e13e1c76b52ef07beda7b344b6339d4dd79e9ec9112ed91869ab14a75eedc,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-09-sample-01.png
breed-09-sample-02,9,British Shorthair,cat,train,d0f64df0f55cc83aad35927580ae14a1a8f4cb9b77f10549ac4b1d688e9977cc,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-09-sample-02.png
breed-09-sample-03,9,British Shorthair,cat,train,5b141cba27ff0fa07dedca6a5015f676eec77a19994bfb9afb63189fc2ca64b0,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-09-sample-03.png
breed-09-sample-04,9,British Shorthair,cat,validation,5920fb8008ba766820e484a95009e69969b400ffeda9e9f58717e313849d7790,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-09-sample-04.png
breed-09-sample-05,9,British Shorthair,cat,validation,204b89044ca21c97b775b528c8bfee8aa77a27dd12ae7f32fa0a9c629ab90cd6,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-09-sample-05.png
breed-10-sample-00,10,Chihuahua,dog,train,a9ecd0b621ac6d90188740200d733ba5b38fce4e9f4ea91cc86113034104f14b,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-10-sample-00.png
breed-10-sample-01,10,Chihuahua,dog,train,692980d2f9a0707f76ab7b06a98a35284041829314a1e85f4a6781b5ce866da2,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-10-sample-01.png
breed-10-sample-02,10,Chihuahua,dog,train,c962ce162e089d28a10c1f1e8d934f240ea1bf9d9231c08bb657fb26181c645d,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-10-sample-02.png
breed-10-sample-03,10,Chihuahua,dog,train,f53c4db7a0f3a9d4ac2a2ec74d69a88475aa5a9a09954ad83ae560ef7e6b0f08,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-10-sample-03.png
breed-10-sample-04,10,Chihuahua,dog,validation,36553567da18ab4582a3a59a7beabd8222527eb4a3f3a86fbf7b86dce81ed99a,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-10-sample-04.png
breed-10-sample-05,10,Chihuahua,dog,validation,08c96306dee2a34233b30348dc6710ffdb3fd2b30877fd469e879e7331f0f883,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-10-sample-05.png
breed-11-sample-00,11,Egyptian Mau,cat,train,8812423477640d122751e1e3dc32fd476099b9b6c38a1c5497e4c564d0753c0d,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-11-sample-00.png
breed-11-sample-01,11,Egyptian Mau,cat,train,32deb9fbc2f67c0e28f81aad0b00a5abce5504efebce468ca190f3cd3d5905c7,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-11-sample-01.png
breed-11-sample-02,11,Egyptian Mau,cat,train,02466e366a73c9ce290cded56d6e14e9dd8a8a46044190b2a59c6dbbfcad0212,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-11-sample-02.png
breed-11-sample-03,11,Egyptian Mau,cat,train,012469dfa678a9aa8c9b8bfac64dfd6220a67561db226075fdae5728f521f936,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-11-sample-03.png
breed-11-sample-04,11,Egyptian Mau,cat,validation,27c6db99099278408a353b8ad8e2e21c22d483c9b975aec9d1e2f971ec3c2af6,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-11-sample-04.png
breed-11-sample-05,11,Egyptian Mau,cat,validation,3873244bd5bf50b62b4840f55c0e312486601b3b17bae565bbedf8f635c10171,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-11-sample-05.png
breed-12-sample-00,12,English Cocker Spaniel,dog,train,2b69dd059fff83dd2bd07dae5e569b55999498db0dcf3c0e1dba021d17ccfe80,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-12-sample-00.png
breed-12-sample-01,12,English Cocker Spaniel,dog,train,8dc560bde572e2021428302bd42c96c8a9f6fe8ea9fffc4c81a7003bb19f8707,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-12-sample-01.png
breed-12-sample-02,12,English Cocker Spaniel,dog,train,1806b6c289134bf57c195ff1fa97f9904129b9a55437ad80a6a6f127b483eda2,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-12-sample-02.png
breed-12-sample-03,12,English Cocker Spaniel,dog,train,6f029da6cb2ac07962e1d67b74b211942bdaab4a1a22f980bfb288b6812419e5,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-12-sample-03.png
breed-12-sample-04,12,English Cocker Spaniel,dog,validation,3e513ffd12c276489316445acc45c7db29f6e877c17cf00dd20d703775acef6d,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-12-sample-04.png
breed-12-sample-05,12,English Cocker Spaniel,dog,validation,78487113dd2a01aa99948c128396f32ca54429dac8ad896707a0af1a89350dcf,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-12-sample-05.png
breed-13-sample-00,13,English Setter,dog,train,3e99517988dabdbd7ca179a24d6e88f5a593edb78b230801acdb3a1df5e0a30d,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-13-sample-00.png
breed-13-sample-01,13,English Setter,dog,train,b3f80adc103fb31a149aa0a73e3ca0f088e996422d6052fe6410bba65472b25b,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-13-sample-01.png
breed-13-sample-02,13,English Setter,dog,train,f3f736278b5d3d04cbd2573840646bfc2ca9c20733d7ebded64acbe2eab8e9a1,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-13-sample-02.png
breed-13-sample-03,13,English Setter,dog,train,3e563cff6cb63578b808ebb3892bbd034be9d266c8245896a0f32788cef34806,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-13-sample-03.png
breed-13-sample-04,13,English Setter,dog,validation,04c191d38f62e362711ecb45520b21582ffb179b2cba01740f48ce2c6cbb8ebf,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-13-sample-04.png
breed-13-sample-05,13,English Setter,dog,validation,0aede668f8523a08ec48dcef5707ac9281645fe084b256e30b64fb665c67d8ff,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-13-sample-05.png
breed-14-sample-00,14,German Shorthaired,dog,train,600012bf1d61091f3f244ee694d22d2ff49dfd31ab5f71056f816cdee0081336,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-14-sample-00.png
breed-14-sample-01,14,German Shorthaired,dog,train,8622d58306fff6f2c2b18d436a88a18d88bc53bb822fb6f84868df6c91c3f523,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-14-sample-01.png
breed-14-sample-02,14,German Shorthaired,dog,train,083dc7db869c8e31f3ee306e90aa2d7c31b7c72b8be1c00e798446f05e4c4bd6,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-14-sample-02.png
breed-14-sample-03,14,German Shorthaired,dog,train,e6dca4594f38854c925b9e17da5659205e1f8d1623d2533ee3dbccbcdeb9fe00,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-14-sample-03.png
breed-14-sample-04,14,German Shorthaired,dog,validation,05165a9ff078a58e77cf75e9b413412cab5ac531ef54df834f0700891838727c,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-14-sample-04.png
breed-14-sample-05,14,German Shorthaired,dog,validation,920b3d307e114bdf3340b01000d7bec07419a249bcbdf0639623e640dd4286f7,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-14-sample-05.png
breed-15-sample-00,15,Great Pyrenees,dog,train,98d9ff33e336fabfb71532b3b2e3ec2e7f11d29f8129e2b4ce6d8e2817167f10,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-15-sample-00.png
breed-15-sample-01,15,Great Pyrenees,dog,train,15cb4cf01225b599241bca88fb6d9ac626680acf71f15201b0616382713e3588,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-15-sample-01.png
breed-15-sample-02,15,Great Pyrenees,dog,train,a4a444f49792ad14b10d60b7165f5def5b5f65605a5d8bfd99258feb74758cc3,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-15-sample-02.png
breed-15-sample-03,15,Great Pyrenees,dog,train,e5a4705ce0fcb40eafdd76f2d8e23495dcfdf59b7d153ff460fe0ee56bf78f4d,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-15-sample-03.png
breed-15-sample-04,15,Great Pyrenees,dog,validation,65cda22c3ea9ee41d82076ce94a5885915193adc49a16760fc173f73be3430d1,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-15-sample-04.png
breed-15-sample-05,15,Great Pyrenees,dog,validation,de7bdcb39c6943f97933f1052e63e0c1d468c957e210e67cae0e9b5d799ccba7,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-15-sample-05.png
breed-16-sample-00,16,Havanese,dog,train,2f0ece05f5a144e926e5fe83f1569fb84d3d642862d947b56d4e0fcc38f4dd04,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-16-sample-00.png
breed-16-sample-01,16,Havanese,dog,train,a8b8600b8b18951e59b7b36773a25694ab29781936adffc414d51a71f4c6c085,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-16-sample-01.png
breed-16-sample-02,16,Havanese,dog,train,a002737dfc48f9df6fabc2547b8afe8c5fa5664d38eed8c97ec5e7d53455a61f,C:/JeanLoa/Path-AI-Engineer/Computer-Vision-Multimodal-AI-Edge-Optimization/19-image-classification-api/data/samples/breed-16-sample-02.png
